,Title,Price,Link
4,"Samsung Galaxy Book3 Pro 360 Intel 13th Gen i7 EvoTM 40.62cm(16"") Touchscreen 2-in-1 3K Display, 120Hz, Thin & Light Laptop(16 GB/512 GB SSD/Windows 11/MS Office/S-Pen/Graphite/1.6Kg), NP960QFG-KA1IN  ","1,09,990",https://amazon.in//Samsung-40-62cm-Touchscreen-Graphite-NP960QFG-KA1IN/dp/B0BS9GCYRN/ref=sr_1_67?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.2htzDNal1n-JDwWegQDDHMl4bbzBpYK3EwxlXxjloaOebGusJIlaD2PYaB3KrTBWomM62MNgILzHzM5iQf4AoCOJC9NCVop1GNN1IgvbqcRTgdVv_c_U8Lq16G38yKEmWIQo0BDJZTelhkNn3X0wC8qPYL_jgiQmP75Re5z96nY5AWA4pt1LUn90NSaYpPr6fCIvzvDJ7kvt9vxvPL86JJX-TA2Bd3BDKTZ8qI6ovp8.qZIHBq6b9se1_xm9I7rDx6977lT8bBcA_usJCaf6ib8&dib_tag=se&keywords=laptop&qid=1725825306&sprefix=lap%2Caps%2C432&sr=8-67
110,"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.56cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Win11/MSO 21/FHD+IR Camera/1Yr ADP Free/3 Mon Game Pass/Grey/1.4Kg), 83D2001GIN  ","1,09,990",https://amazon.in//Lenovo-IdeaPad-35-56cm-2-8K-OLED-83D2001GIN/dp/B0CY2LDT1S/ref=sr_1_132?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.wwky5_aRjtcJKeLtS1OBf_E9I63vIW3Y6YSnnjsbMx-GF7v0z1u5AFMMzb-Z07sV28-Ncoz4YzI3OWSB_B9XxydTulZid8yRUVg6peHuYnKjZgMOSWgdZAH9HGcPKsZp5uIiEbsH_gmFIqfWE1q158HykZ0l3rGv80gsSOvvvqyCfRL4VONMiFgQz2ImcWPbq0x6mDhNbdToYCBWK8vkQiuPV4S34Bk0yUgm2LdDf-0.lIKK6Ap2Dnv8ZiMxaigxo4wbsmBfxrLnyaqUg45sG5I&dib_tag=se&keywords=laptop&qid=1725825328&sprefix=lap%2Caps%2C432&sr=8-132
16,"ASUS Vivobook 16 (2023), Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+, Thin & Light Laptop (16GB/1TB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg), X1605VA-MB957WS  ","99,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMDU0NTIwODczNzg4NjUyOjE3MjU4MjUzMTM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI4Mjc3MTIyOTEzMjo6Mzo6&url=%2FASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB957WS%2Fdp%2FB0CHMXTF6S%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D234WC15ZUST3N%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.FI4cMdR_Nvj_g5VJRGcn_huzBKtHlKPk-kT6G-0vsOgyyCdq72vVutJfoih2v4OK.v5Ka8FEQ7KmwOp2yEPRebChOfGmVBM2xhjV5DYoUq08%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CHMXTF6S%26pd_rd_r%3D42060911-4cd8-4071-a86c-5b39f505f517%26pd_rd_w%3D4FSlp%26pd_rd_wg%3Dipkad%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3D4YEWT04KPGHHKH7VVVFR%26qid%3D1725825313%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlap%252Caps%252C432%26sr%3D1-67-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
69,"ASUS Vivobook 16 (2023), Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+, Thin & Light Laptop (16GB/1TB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg), X1605VA-MB957WS  ","99,990",https://amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB957WS/dp/B0CHMXTF6S/ref=sr_1_100?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.MKshuMZZ4i-4YGxGa-N6jqcRuOxoIauDJYggxc56KksccLmTMw2vOqy1-YY8WKh_F0hLnBHqsHLw1L7fFF2SVa6m4TAgyLyz_0cyb2wGUCkW7WvWRrzYiuac9RWhSne4eQXcBYrOoiMnwfU5-m-lMlW97Mvq6zR9kt5hxwXiuQ3SKJtAMBRCb9v-0CKRHDgZIAqEIQVSBXWyg2K1pSRWAHJs4CdglLhXltgMpLSfeyM.akETlGFOhWWePVR3vbXiwW_kjXA_CQex4OPmHoKIn-w&dib_tag=se&keywords=laptop&qid=1725825323&sprefix=lap%2Caps%2C432&sr=8-100
177,"Dell Inspiron 5330 Laptop, Intel Core Ultra 7 155H Processor,16GB LPDDR5X,1TB SSD,Intel Arc Graphics,13.3"" (33.78cm) QHD+AG 300nits Display,Backlit KB + FPR,Win 11 + MSO'21,Silver,Thin & Light- 1.24kg  ","99,690",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NDU2MTEwMzUwMjg1NDQ2OjE3MjU4MjUzMDE6c3BfYnRmOjMwMDMxMDA4MjUyMTgzMjo6MDo6&url=%2FDell-Inspiron-Processor-LPDDR5X-Graphics%2Fdp%2FB0CQT6SK21%2Fref%3Dsr_1_54_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.qPeX3XRjnQWla9V6yLMFeezp_wwjAqNd9iI7Js_xWpFqEHxKwy8YAJ7KbcrJME3RT8UXZZboQJR1qbUufo5FetvK3OOm551asE3uSJc6KaRJGlFM2IusXiOwrgB4Qs167n581HAayOXvkxhAa_bKpGQMPKK8RW5usc9FWR-lu-Pemh4k6q-uriaQxRoCRQRR_o9nWEQCzZ3RHVLoAQpub0Zzft7ccp45_aandy_W5ng.0f8VGgpavXJm_l6-pNUIR71LtiuTOEr13k0lqkYNgGI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725825301%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
75,"HP Victus Gaming Laptop, AMD Ryzen 7 8845HS AI Powered, 6GB RTX 4050 GPU,15.6-inch (39.6 cm),FHD, IPS,144Hz,16GB DDR5,1TB SSD, 300 nits, Win 11,Backlit KB, DTS:X Ultra (MSO, Blue, 2.29 kg), fb2117AX  ","99,490",https://amazon.in//HP-Victus-Powered-15-6-inch-Backlit/dp/B0D7PXTNRX/ref=sr_1_106?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.MKshuMZZ4i-4YGxGa-N6jqcRuOxoIauDJYggxc56KksccLmTMw2vOqy1-YY8WKh_F0hLnBHqsHLw1L7fFF2SVa6m4TAgyLyz_0cyb2wGUCkW7WvWRrzYiuac9RWhSne4eQXcBYrOoiMnwfU5-m-lMlW97Mvq6zR9kt5hxwXiuQ3SKJtAMBRCb9v-0CKRHDgZIAqEIQVSBXWyg2K1pSRWAHJs4CdglLhXltgMpLSfeyM.akETlGFOhWWePVR3vbXiwW_kjXA_CQex4OPmHoKIn-w&dib_tag=se&keywords=laptop&qid=1725825323&sprefix=lap%2Caps%2C432&sr=8-106
160,"Dell New Inspiron 14 Plus Laptop with AI Enabled Intel Evo Powered Core Ultra 7 155H Processor, 16GB LPDDR5X, 1TB SSD, 14"" (35.56cm) 2.2K 300nits, Win 11 + MSO'21, Backlit KB + FPR, Ice Blue, 1.24kg  ","97,989",https://amazon.in//Dell-Inspiron-Enabled-Powered-Processor/dp/B0CYLXZ28F/ref=sr_1_38?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.qPeX3XRjnQWla9V6yLMFeezp_wwjAqNd9iI7Js_xWpFqEHxKwy8YAJ7KbcrJME3RT8UXZZboQJR1qbUufo5FetvK3OOm551asE3uSJc6KaRJGlFM2IusXiOwrgB4Qs167n581HAayOXvkxhAa_bKpGQMPKK8RW5usc9FWR-lu-Pemh4k6q-uriaQxRoCRQRR_o9nWEQCzZ3RHVLoAQpub0Zzft7ccp45_aandy_W5ng.0f8VGgpavXJm_l6-pNUIR71LtiuTOEr13k0lqkYNgGI&dib_tag=se&keywords=laptop&qid=1725825301&sprefix=lap%2Caps%2C432&sr=8-38
19,"Acer Swift Go 14 Built-in AI PC Premium Laptop Intel Core Ultra 7 155H (14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win11/MSO)SFG14-73T, Pure Silver, 1.3 Kg  ","94,990",https://amazon.in//Acer-Premium-Touchscreen-Graphics-SFG14-73T/dp/B0CYH9WFJS/ref=sr_1_71?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.qlLaQj7bAi4wsOeViPvho3NGEMSqbA1SdO_Av7FRR14HvZ5FTrwvbnKwlK8-8hJphSUGTUSU8wil7nMpSoknTEA1-rpjUIRxx7HXLS3sN7ZezNwk_MEsQ57s0SFHPznBDpQ2iZhbSeBzjEPXqtVjLo5tDg6YlYU9CUQ4QBR7HL2nkGRWUoHlLarUB1pz13-pH8U7GOffdQZT-m7jDlIPERx0S41AmUP2hTIJ5KXjAGI.B_aGDxB96uoHCepREYAj40qNzi1Zrah3iuYgp34LWcw&dib_tag=se&keywords=laptop&qid=1725825313&sprefix=lap%2Caps%2C432&sr=8-71
107,"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+(16GB RAM/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg) X1605VA-MB947WS  ","94,990",https://amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB947WS/dp/B0CHMZRC89/ref=sr_1_129?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.wwky5_aRjtcJKeLtS1OBf_E9I63vIW3Y6YSnnjsbMx-GF7v0z1u5AFMMzb-Z07sV28-Ncoz4YzI3OWSB_B9XxydTulZid8yRUVg6peHuYnKjZgMOSWgdZAH9HGcPKsZp5uIiEbsH_gmFIqfWE1q158HykZ0l3rGv80gsSOvvvqyCfRL4VONMiFgQz2ImcWPbq0x6mDhNbdToYCBWK8vkQiuPV4S34Bk0yUgm2LdDf-0.lIKK6Ap2Dnv8ZiMxaigxo4wbsmBfxrLnyaqUg45sG5I&dib_tag=se&keywords=laptop&qid=1725825328&sprefix=lap%2Caps%2C432&sr=8-129
58,"Dell Inspiorn 5630 Laptop, Intel 13th Gen i7-1360P Processor, 16GB LP DDR5, 1TB SSD, 16.0"" FHD+ 300 nits Display, Backlit KB + FPR, Win 11 + MSO'21 & 15 Month, Silver, Thin & Light- 1.85kg McAfee,  ","91,744",https://amazon.in//Dell-Inspiorn-i7-1360P-Processor-Display/dp/B0CX1T4HKC/ref=sr_1_96?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.WSsrslSb5jyvJVlI_ZdsEHZSJKyx7hoYqUq0TGrElxVVR7ABuvpLj3RRVNCdLCDs6-_ephO9Lqn9N0AuZwYNIXkaeTtIVEaLTPoTt8LSLCDNy_0a3Bl_qx5UjYOBRzVSULJoY9dD4LQbR7KXl9vzzenpOvUs4XZGcaHflw6HMiCwGqtIZS7AUXVlrfoxrVESLQ0q24v4q19zTD-s3UBrokSJ_P08Txg60BRaFNFgydk.iJfOOwtpG9S6JJy5qLpXp0cJp3T7g3zl9Pey6t8Rf6U&dib_tag=se&keywords=laptop&qid=1725825318&sprefix=lap%2Caps%2C432&sr=8-96
